stationID,name,longitude,latitude
446,"W 24 St & 7 Ave",-73.99529885,40.74487634
3408,"Congress St & Clinton St",-73.99520919,40.6881529
280,"E 10 St & 5 Ave",-73.99510132,40.73331967
3244,"University Pl & E 8 St",-73.99490341544151,40.73143724085228
251,"Mott St & Prince St",-73.99480012,40.72317958
3382,"Carroll St & Smith St",-73.99475825,40.680611
3255,"8 Ave & W 31 St",-73.9946848154068,40.7505853470215
515,"W 43 St & 10 Ave",-73.99461843,40.76009437
168,"W 18 St & 6 Ave",-73.99456405,40.73971301
3303,"Butler St & Court St",-73.99440329,40.6849894
3708,"W 13 St & 5 Ave",-73.99431,40.735445
412,"Forsyth St & Canal St",-73.99422366,40.7158155
435,"W 21 St & 6 Ave",-73.99415556,40.74173969
335,"Washington Pl & Broadway",-73.99404649,40.72903917
408,"Market St & Cherry St",-73.99400398,40.71076228
490,"8 Ave & W 33 St",-73.993934,40.751551
72,"W 52 St & 11 Ave",-73.99392888,40.76727216
442,"W 27 St & 7 Ave",-73.993915,40.746647
217,"Old Fulton St",-73.99383605,40.70277159
3298,"Warren St & Court St",-73.99383324,40.686371
3236,"W 42 St & Dyer Ave",-73.99379968643188,40.75898481399634
229,"Great Jones St",-73.99379025,40.72743423
3381,"3 St & Hoyt St",-73.99364123,40.6777287
3795,"10 St & 2 Ave",-73.993612,40.671907
391,"Clark St & Henry St",-73.99344559,40.69760127
3728,"Pierrepont St & Monroe Pl",-73.99344027042389,40.69535693320225
143,"Clinton St & Joralemon St",-73.99337909,40.69239502
3324,"3 Ave & 14 St",-73.99333264,40.6685455
3329,"Degraw St & Smith St",-73.99318208,40.6829151
495,"W 47 St & 10 Ave",-73.99301222,40.76269882
295,"Pike St & E Broadway",-73.99293911,40.71406667
531,"Forsyth St & Broome St",-73.99266288,40.71893904
496,"E 16 St & 5 Ave",-73.99238967,40.73726186
3246,"Montague St & Clinton St",-73.99230033159256,40.694281141397326
3812,"University Pl & E 14 St",-73.992085,40.734814
3402,"Court St & State St",-73.99203074,40.6902375
331,"Pike St & Monroe St",-73.99193043,40.71173107
473,"Rivington St & Chrystie St",-73.9919254,40.72110063
361,"Allen St & Hester St",-73.99190759,40.71605866
3242,"Schermerhorn St & Court St",-73.99183362722397,40.69102925677968
379,"W 31 St & 7 Ave [temporarily removed]",-73.9916,40.749156
3790,"Henry St & Middagh St",-73.991581,40.7003
3738,"Delancey St & Eldridge St",-73.991479,40.719383
265,"Stanton St & Chrystie St",-73.99147535,40.72229346
466,"W 25 St & 6 Ave",-73.99144871,40.74395411
523,"W 38 St & 8 Ave",-73.99138152,40.75466591
479,"9 Ave & W 45 St",-73.9912551,40.76019252
293,"Lafayette St & E 8 St",-73.99102628231049,40.73020660529954
529,"W 42 St & 8 Ave",-73.99098507,40.7575699
492,"W 33 St & 7 Ave",-73.99093085,40.75019995
3332,"Degraw St & Hoyt St",-73.99079024791718,40.681990442707026
3263,"Cooper Square & Astor Pl",-73.99075269699097,40.72951496224949
285,"Broadway & E 14 St",-73.99074142,40.73454567
403,"E 2 St & 2 Ave",-73.99069656,40.72502876
3409,"Bergen St & Smith St",-73.99063168,40.6867443
3993,"W 59 St & West End Ave",-73.990625,40.771771
480,"W 53 St & 10 Ave",-73.99061728,40.76669671
530,"11 Ave & W 59 St",-73.99046033620834,40.77149671054441
3322,"12 St & 4 Ave",-73.9904394,40.668603
3377,"Carroll St & Bond St",-73.99037292,40.6786115
